"A1";"A2";"B1";"B2";"C1";"C2";"D1";"D2";  
05926;07408;01486;11856;00742;12600;00742;12600;
05927;07407;01487;11856;00743;12600;00742;12601;
05903;07377;01479;11799;00743;12543;00742;12544;
05903;07375;01478;11800;00742;12544;00742;12544;
05878;07344;01470;11752;00734;12488;00735;12489;
05879;07344;01471;11752;00735;12487;00734;12488;
05854;07312;01462;11704;00734;12432;00734;12432;
05855;07311;01463;11704;00735;12432;00735;12433;
05822;07280;01455;11648;00726;12376;00727;12376;
05823;07279;01455;11648;00726;12376;00727;12376;
05799;07248;01455;11599;00727;12320;00727;12320;
05799;07247;01454;11600;00726;12320;00726;12320;
05775;07217;01446;11552;00727;12272;00727;12272;
05775;07215;01446;11552;00726;12272;00726;12272;
05751;07184;01439;11496;00719;12216;00718;12216;
05751;07183;01438;11496;00718;12216;00718;12216;
05727;07160;01431;11448;00718;12168;00719;12168;
05727;07159;01430;11448;00718;12168;00718;12168;
05702;07128;01431;11400;00719;12112;00718;12112;
05703;07127;01430;11400;00719;12112;00719;12112;
05678;07096;01422;11352;00710;12064;00710;12064;
05679;07096;01422;11352;00711;12064;00711;12064;
05654;07064;01414;11304;00710;12008;00710;12008;
05654;07063;01415;11305;00711;12008;00711;12008;
05630;07040;01406;11256;00703;11961;00702;11960;
05631;07039;01406;11256;00702;11960;00702;11961;
05607;07009;01406;11207;00703;11912;00702;11912;
05607;07007;01406;11207;00703;11912;00703;11912;
05582;06976;01398;11160;00702;11856;00703;11856;
05583;06975;01398;11160;00702;11856;00702;11856;
05559;06952;01391;11111;00695;11808;00694;11808;
05559;06951;01390;11112;00695;11808;00694;11808;
05534;06920;01382;11072;00694;11760;00695;11760;
05535;06919;01382;11072;00694;11760;00695;11760;
05511;06888;01383;11023;00694;11712;00694;11712;
05512;06888;01382;11024;00695;11712;00694;11712;
05486;06864;01374;10975;00687;11664;00686;11664;
05487;06863;01374;10976;00686;11664;00685;11665;
05470;06832;01366;10936;00686;11616;00687;11616;
05471;06831;01366;10936;00686;11616;00686;11617;
05447;06808;01367;10888;00686;11568;00686;11568;
05446;06807;01366;10888;00686;11568;00686;11568;
05423;06777;01359;10848;00678;11520;00678;11520;
05422;06776;01359;10848;00678;11520;00678;11520;
05398;06752;01351;10799;00678;11472;00678;11472;
05399;06752;01351;10799;00678;11472;00678;11472;
05382;06728;01350;10760;00678;11432;00678;11432;
05383;06728;01351;10759;00678;11432;00678;11432;
05358;06696;01343;10711;00670;11384;00670;11384;
05359;06695;01342;10711;00671;11384;00670;11384;
05334;06672;01335;10671;00670;11336;00670;11336;
05336;06672;01334;10671;00670;11336;00670;11336;
05319;06648;01335;10631;00670;11296;00670;11296;
05319;06647;01335;10632;00670;11296;00670;11296;
05294;06616;01326;10584;00662;11248;00663;11248;
05295;06615;01326;10584;00662;11248;00663;11248;
05270;06592;01318;10544;00663;11199;00663;11200;
05271;06591;01318;10544;00663;11200;00662;11200;
05254;06568;01319;10503;00663;11160;00662;11160;
05255;06568;01319;10503;00662;11160;00662;11160;
05231;06544;01311;10464;00655;11112;00654;11112;
05231;06543;01310;10464;00654;11112;00655;11112;
05214;06512;01302;10424;00655;11072;00654;11072;
05215;06511;01303;10424;00654;11072;00654;11072;
05190;06488;01303;10384;00654;11032;00654;11032;
05191;06487;01302;10384;00654;11032;00654;11032;
05174;06464;01294;10344;00646;10983;00647;10984;
05175;06463;01295;10344;00647;10984;00646;10984;
05150;06440;01287;10303;00646;10944;00646;10944;
05151;06439;01286;10304;00646;10944;00647;10944;
05134;06416;01286;10264;00646;10904;00646;10904;
05135;06416;01287;10264;00646;10904;00646;10904;
05111;06392;01278;10224;00638;10856;00638;10855;
05111;06391;01278;10224;00638;10855;00638;10856;
05094;06368;01279;10184;00638;10816;00638;10816;
05095;06367;01278;10184;00638;10816;00638;10816;
05070;06344;01270;10143;00639;10775;00638;10776;
05070;06343;01271;10144;00638;10776;00638;10775;
05054;06320;01262;10104;00630;10735;00630;10736;
05055;06320;01263;10103;00630;10736;00630;10736;
05030;06296;01262;10064;00630;10696;00630;10696;
05031;06295;01262;10063;00630;10696;00630;10696;
05015;06273;01255;10032;00630;10656;00631;10655;
05015;06271;01254;10031;00630;10656;00630;10656;
04998;06248;01255;09992;00630;10616;00631;10616;
04999;06247;01254;09991;00631;10615;00630;10616;
04974;06224;01246;09952;00622;10576;00623;10576;
04975;06223;01247;09951;00623;10576;00622;10576;
04958;06200;01239;09920;00622;10536;00623;10535;
04959;06199;01238;09920;00622;10536;00622;10536;
04942;06176;01238;09880;00622;10495;00622;10496;
04943;06175;01239;09879;00622;10496;00622;10495;
04926;06152;01230;09848;00614;10455;00614;10456;
04926;06152;01231;09848;00614;10456;00614;10455;
04902;06128;01230;09807;00615;10424;00614;10424;
04903;06127;01231;09808;00614;10423;00614;10424;
04886;06112;01222;09776;00614;10384;00614;10383;
04887;06111;01222;09776;00615;10383;00614;10384;
04870;06087;01223;09736;00614;10344;00615;10343;
04871;06087;01222;09735;00614;10344;00614;10344;
04854;06064;01214;09704;00606;10303;00606;10304;
04855;06063;01215;09704;00606;10303;00606;10304;
04830;06040;01207;09664;00606;10272;00606;10271;
04831;06039;01206;09663;00607;10271;00606;10272;
04815;06024;01206;09632;00606;10231;00607;10231;
04815;06023;01207;09631;00606;10232;00607;10232;
04798;06000;01198;09599;00598;10192;00598;10191;
04799;05999;01198;09600;00598;10192;00598;10192;
04783;05976;01198;09560;00599;10159;00598;10160;
04783;05975;01199;09560;00598;10160;00598;10160;
04766;05960;01190;09527;00598;10120;00598;10119;
04767;05959;01190;09527;00598;10120;00598;10119;
04750;05936;01190;09496;00599;10088;00598;10088;
04751;05935;01190;09496;00598;10088;00598;10088;
04734;05911;01183;09464;00590;10048;00591;10048;
04735;05911;01183;09463;00590;10048;00591;10047;
04710;05896;01183;09424;00590;10016;00590;10015;
04711;05895;01182;09423;00591;10016;00590;10015;
04694;05872;01174;09392;00591;09983;00590;09984;
04695;05871;01174;09392;00590;09984;00590;09984;
04679;05856;01174;09360;00590;09943;00591;09944;
04679;05855;01175;09360;00590;09944;00590;09944;
04662;05832;01166;09328;00582;09912;00583;09912;
04663;05832;01166;09328;00582;09912;00583;09912;
04646;05808;01166;09296;00582;09879;00583;09880;
04647;05807;01167;09296;00582;09880;00583;09880;
04630;05792;01158;09263;00582;09840;00583;09839;
04631;05791;01159;09264;00582;09840;00582;09840;
04614;05768;01159;09231;00582;09808;00582;09807;
04615;05767;01159;09231;00583;09808;00583;09808;
04598;05752;01151;09199;00574;09776;00575;09775;
04599;05751;01151;09200;00574;09776;00575;09775;
04582;05728;01150;09167;00574;09744;00575;09743;
04583;05728;01150;09167;00574;09744;00575;09743;
04566;05712;01142;09135;00574;09704;00574;09704;
04567;05711;01143;09135;00574;09704;00575;09703;
04550;05696;01143;09104;00574;09671;00575;09672;
04551;05696;01143;09103;00574;09672;00574;09672;
04534;05672;01134;09072;00567;09639;00566;09640;
04535;05671;01134;09072;00567;09639;00566;09640;
04517;05656;01134;09040;00567;09608;00566;09608;
04519;05655;01134;09039;00567;09607;00566;09607;
04510;05632;01126;09015;00566;09576;00566;09575;
04511;05631;01126;09015;00567;09576;00566;09576;
04494;05616;01127;08983;00566;09543;00567;09544;
04495;05616;01126;08984;00566;09544;00566;09544;
04478;05599;01119;08952;00558;09511;00558;09512;
04479;05599;01118;08952;00558;09512;00558;09512;
04462;05576;01118;08920;00559;09480;00558;09479;
04463;05575;01118;08919;00558;09480;00559;09480;
04446;05560;01111;08895;00558;09448;00557;09448;
04447;05559;01111;08896;00558;09447;00558;09448;
04430;05544;01111;08864;00558;09416;00558;09416;
04431;05543;01110;08863;00558;09416;00558;09415;
04414;05520;01102;08831;00550;09384;00551;09383;
04415;05519;01103;08831;00550;09383;00550;09384;
04406;05504;01103;08808;00550;09351;00550;09351;
04407;05503;01102;08808;00550;09352;00551;09352;
04390;05488;01102;08776;00550;09327;00551;09327;
04390;05487;01102;08776;00550;09327;00550;09328;
04375;05472;01094;08744;00551;09296;00550;09295;
04375;05471;01094;08743;00550;09296;00549;09296;
04358;05448;01095;08720;00550;09263;00550;09264;
04360;05447;01094;08719;00551;09263;00550;09263;
04342;05432;01086;08687;00542;09232;00543;09231;
04343;05431;01087;08687;00542;09231;00542;09232;
04335;05416;01086;08664;00543;09199;00542;09199;
04335;05415;01086;08663;00542;09199;00543;09199;
04318;05399;01079;08632;00542;09175;00542;09176;
04319;05399;01079;08631;00542;09176;00542;09175;
04302;05384;01079;08608;00542;09143;00543;09144;
04303;05383;01079;08608;00542;09143;00542;09144;
04286;05360;01070;08575;00534;09112;00535;09112;
04287;05358;01071;08576;00534;09111;00534;09112;
04278;05344;01070;08551;00535;09088;00534;09087;
04279;05344;01070;08551;00534;09087;00534;09088;
04262;05328;01070;08520;00534;09056;00534;09055;
04263;05327;01070;08519;00534;09055;00534;09056;
04246;05312;01063;08496;00535;09023;00534;09023;
04247;05311;01062;08496;00534;09024;00534;09024;
04238;05297;01062;08472;00535;08999;00534;08999;
04239;05295;01062;08471;00534;09000;00534;09000;
04222;05279;01055;08440;00527;08967;00526;08967;
04223;05279;01054;08439;00526;08968;00527;08968;
04206;05263;01055;08416;00527;08943;00527;08944;
04207;05263;01054;08415;00526;08943;00526;08944;
04198;05248;01054;08392;00526;08911;00526;08911;
04199;05247;01055;08391;00526;08911;00527;08912;
