
 *
 *
 *
 XTZ 660 pickup decoder booting ...  
  
"A1";"A2";"B1";"B2";"C1";"C2";"D1";"D2";"Act";"Act_Pos";"Deact";"Deact_Pos";  
01954;02299;00506;03734;00400;03840;00394;03798;00000;000;03066;005;
01967;02351;00506;03717;00388;03719;00394;03691;00000;000;03256;005;
01909;02261;00494;03648;00390;03751;00387;03721;00000;000;02848;005;
01917;02303;00490;03632;00385;03645;00385;03614;00000;000;00000;000;
01866;02222;00483;03569;00385;03671;00382;03649;00000;000;00000;000;
01879;02247;00482;03605;00385;03692;00385;03661;00000;000;00000;000;
01894;02246;00487;03626;00387;03723;00384;03691;00000;000;00000;000;
01905;02278;00489;03661;00388;03742;00383;03704;00000;000;00000;000;
01920;02282;00493;03676;00386;03771;00387;03738;00000;000;00000;000;
01927;02310;00494;03713;00390;03789;00387;03753;00000;000;00000;000;
01939;02315;00497;03726;00389;03822;00390;03788;00000;000;00000;000;
01950;02341;00499;03762;00389;03841;00393;03804;00000;000;00000;000;
01963;02346;00502;03778;00391;03874;00393;03841;00000;000;00000;000;
01977;02372;00505;03811;00393;03894;00396;03858;00000;000;00000;000;
01991;02372;00508;03832;00393;03928;00397;03893;00000;000;00000;000;
02004;02405;00511;03866;00395;03950;00401;03912;00000;000;00000;000;
02014;02406;00514;03884;00396;03984;00401;03949;03396;000;00000;000;
02027;02440;00515;03846;00385;03822;00395;03790;00035;000;03538;005;
01958;02309;00496;03754;00392;03853;00388;03820;00000;000;02983;005;
01966;02361;00500;03723;00379;03726;00388;03696;00000;000;03291;005;
01909;02257;00489;03650;00383;03755;00383;03725;00000;000;02839;005;
01912;02303;00485;03636;00381;03650;00378;03615;00000;000;00000;000;
01860;02225;00479;03573;00378;03674;00376;03652;00000;000;00000;000;
01872;02255;00472;03609;00383;03697;00377;03663;00000;000;00000;000;
01887;02253;00484;03631;00380;03723;00382;03696;00000;000;00000;000;
01900;02277;00484;03666;00383;03742;00380;03709;00000;000;00000;000;
01914;02284;00488;03678;00382;03773;00383;03740;00000;000;00000;000;
01922;02310;00491;03715;00382;03789;00386;03757;00000;000;00000;000;
01937;02313;00490;03727;00387;03825;00383;03788;00000;000;00000;000;
01948;02343;00494;03764;00387;03841;00387;03808;00000;000;00000;000;
01965;02340;00497;03778;00388;03876;00390;03838;00000;000;00000;000;
01971;02378;00503;03812;00388;03894;00394;03861;00000;000;00000;000;
01986;02374;00503;03830;00391;03931;00393;03894;00000;000;00000;000;
02000;02405;00506;03865;00392;03950;00398;03913;00000;000;00000;000;
02012;02408;00507;03885;00394;03983;00397;03950;03393;000;00000;000;
02025;02440;00513;03845;00381;03821;00393;03788;00036;000;03526;005;
01955;02306;00494;03751;00390;03852;00385;03816;00000;000;02969;005;
01961;02364;00497;03724;00378;03725;00385;03696;00000;000;03283;005;
01901;02261;00486;03650;00381;03752;00382;03727;00036;000;02838;005;
01908;02302;00482;03635;00380;03648;00375;03615;00000;000;00000;000;
01856;02226;00472;03574;00378;03672;00374;03649;00000;000;00000;000;
01870;02253;00472;03605;00381;03694;00376;03662;00000;000;00000;000;
01885;02252;00477;03627;00380;03723;00379;03692;00000;000;00000;000;
01900;02275;00484;03660;00382;03742;00377;03705;00000;000;00000;000;
01911;02284;00485;03678;00381;03770;00380;03737;00000;000;00000;000;
01922;02307;00485;03709;00383;03789;00382;03754;00000;000;00000;000;
01931;02315;00491;03727;00383;03820;00387;03787;00000;000;00000;000;
01940;02334;00493;03750;00386;03838;00387;03802;00000;000;00000;000;
01955;02343;00496;03773;00385;03871;00390;03833;00000;000;00000;000;
01966;02360;00498;03794;00387;03888;00391;03851;00000;000;00000;000;
01980;02371;00500;03820;00390;03923;00392;03884;00000;000;00000;000;
01993;02388;00502;03839;00390;03940;00394;03903;00000;000;00000;000;
02007;02398;00505;03874;00392;03975;00396;03939;00000;000;00000;000;
02018;02414;00507;03889;00394;03994;00396;03955;03430;000;00000;000;
02029;02435;00514;03921;00394;04029;00401;03994;00035;000;03518;005;
02041;02445;00512;03943;00395;04046;00402;04011;00035;000;03575;005;
02058;02463;00517;03975;00399;04083;00405;04050;00035;000;03537;005;
02067;02477;00519;03993;00400;04103;00407;04067;00036;000;03605;005;
02085;02493;00521;04030;00403;04139;00409;04104;00035;000;03692;005;
02096;02509;00525;04047;00403;04157;00410;04122;00035;000;03640;005;
02110;02529;00528;04081;00406;04197;00414;04161;00035;000;03726;005;
02122;02545;00531;04102;00407;04212;00415;04181;00035;000;03799;005;
02139;02561;00533;04139;00411;04254;00416;04221;00036;000;03762;005;
02150;02578;00536;04158;00411;04272;00419;04239;00036;000;03836;005;
02168;02595;00539;04195;00415;04313;00422;04279;00036;000;03934;005;
02179;02612;00544;04214;00415;04331;00423;04297;00035;000;04009;005;
02196;02634;00548;04249;00419;04376;00426;04341;00036;000;03983;005;
02209;02647;00552;04269;00420;04395;00427;04357;00035;000;04055;005;
02228;02669;00556;04306;00423;04441;00431;04399;00036;000;04165;005;
02242;02684;00559;04327;00426;04460;00432;04415;00036;000;04110;005;
02261;02711;00562;04362;00429;04508;00435;04460;00036;000;04242;005;
02275;02723;00565;04388;00431;04522;00435;04483;00035;000;04301;005;
02291;02749;00569;04426;00435;04571;00439;04529;00036;000;04418;005;
